year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,sale_date,sale_time
2005,Audi,allroad quattro,Base,Wagon,Automatic,wa1yd64b45n024988,CA,19,121261,Blue,Black,k & s auto sales,4975,2900,2014-12-16,12:30:00
2014,Dodge,Journey,SXT,SUV,Automatic,3c4pdcbb1et180571,CA,3,31222,—,Black,hertz corporation/gdp,14750,14500,2014-12-16,12:30:00
2012,Hyundai,Sonata,GLS,Sedan,Automatic,5npeb4ac0ch395644,CA,41,39132,Blue,Gray,hyundai motor finance,10950,12100,2014-12-16,12:00:00
2012,Kia,Sorento,LX,SUV,Automatic,5xykt3a64cg309425,CA,48,53444,White,Beige,kia motors america  inc,12550,14500,2014-12-16,12:30:00
2014,Mazda,Mazda6,i Touring,Sedan,Automatic,jm1gj1t67e1146883,CA,41,15364,White,Black,mazda motors of america inc.,18950,19000,2014-12-16,12:30:00
2014,Nissan,Sentra,S,Sedan,Automatic,3n1ab7ap9el625819,CA,48,12424,Blue,Gray,nissan dealer blend/tustin nissan,13000,12250,2014-12-16,12:30:00
2000,Buick,LeSabre,Limited,Sedan,Automatic,1g4hr54k5yu270018,FL,26,110892,Beige,Tan,leedom capital corporation/automaxx,2100,1800,2014-12-17,17:15:00
2011,Chevrolet,Camaro,2LT,Convertible,Automatic,2g1fc3dd3b9210397,CA,38,32841,Black,Black,the car exchange,17350,18800,2014-12-17,12:30:00
2011,Nissan,Altima,2.5,Sedan,Automatic,1n4al2ap5bn515946,CA,34,49945,White,Gray,nissan motor acceptance corporation,10600,11800,2014-12-17,12:30:00
2013,Nissan,Sentra,SV,Sedan,Automatic,3n1ab7ap2dl684788,UT,32,43756,Black,Black,merchants automotive group,10150,9500,2014-12-17,11:30:00
2005,Audi,A4,2.0T quattro,Sedan,Automatic,waudf68e65a504859,CA,28,98814,Blue,Black,premium auto wholesale,5725,6400,2014-12-18,12:00:00
2008,Cadillac,DTS,Base,Sedan,Automatic,1g6kd57y58u129493,FL,31,110181,Gray,Beige,nicholas financial inc/clearwater,5350,5600,2014-12-18,15:01:00
2003,Chevrolet,Impala,LS,Sedan,Automatic,2g1wh55k539143491,VA,19,111677,Burgundy,Gray,r k chevrolet inc,2450,1800,2014-12-18,09:35:00
2011,Ford,Edge,SEL,SUV,Automatic,2fmdk3jc0bbb67901,CA,45,31651,Black,Black,ford motor credit company llc pd,18350,18600,2014-12-18,12:00:00
2000,Ford,Expedition,Eddie Bauer,SUV,Automatic,1fmru1764ylb36097,CA,38,76091,Blue,Beige,gosch ford,1900,2800,2014-12-18,12:00:00
2010,Ford,F-150,Platinum,SuperCrew,Automatic,1ftfw1ev7afa36155,MI,49,78782,White,Brown,kevins marysville auto sales inc,23400,25400,2014-12-18,09:30:00
2006,Ford,Mustang,Standard,Coupe,Automatic,1zvft80n765242546,MI,37,43595,White,Black,dean sellers ford,7900,6900,2014-12-18,09:30:00
2012,Honda,Civic,LX,Sedan,Automatic,19xfb2f59ce382947,CA,42,28391,White,Gray,ahfc/honda lease trust/hvt  inc.,11500,13000,2014-12-18,12:00:00
2012,Infiniti,G Sedan,G37 Journey,G Sedan,Automatic,jn1cv6ap6cm936458,CA,43,26216,White,Black,nissan infiniti lt,22200,22750,2014-12-18,12:30:00
2012,Kia,Soul,Base,Wagon,Manual,kndjt2a5xc7440580,VA,44,44530,White,Gray,brown honda,8975,8800,2014-12-18,09:35:00
2010,Lexus,HS 250h,Base,Sedan,Automatic,jthbb1ba9a2015146,AZ,29,58122,Black,Beige,vip custom rides llc,15850,16000,2014-12-18,11:30:00
2012,Nissan,Altima,2.5 S,Sedan,Automatic,1n4al2ap2cc172266,IL,28,35847,Black,Black,nissan-infiniti lt,12300,10900,2014-12-18,10:00:00
2013,Nissan,Murano,SL,SUV,Automatic,jn8az1mw1dw323284,TN,44,23279,—,Beige,nissan north america inc.,22700,23200,2014-12-18,10:00:00
2011,Saab,9-5,Turbo4 Premium,Sedan,Automatic,ys3gn4ar7b4003583,PR,45,74253,White,Black,scotiabank de puerto rico,11200,11500,2014-12-18,11:00:00
2009,Honda,Accord,EX-L V-6,Sedan,Automatic,1hgcp36849a002477,PA,27,59177,White,Beige,jpmorgan chase bank n.a.,11500,11400,2014-12-19,09:00:00
2014,Toyota,Camry,SE,Sedan,Automatic,4t1bf1fk2eu783890,FL,44,13219,White,Black,enterprise veh exchange/rental,17100,17200,2014-12-19,09:20:00
2002,Toyota,Avalon,XLS,Sedan,Automatic,4t1bf28b62u208058,FL,2,166089,White,Beige,fiserv/independent bank,3250,2100,2014-12-22,08:30:00
1998,Bmw,3 Series,318ti,Hatchback,Automatic,wbacg8328wkc83393,CA,28,183338,Green,Beige,volkswagen of murrieta,1250,1300,2014-12-23,12:30:00
2004,Bmw,5 Series,525i,Sedan,Automatic,wbana535x4b854797,IL,33,130002,Black,Black,santander consumer,5075,4700,2014-12-23,10:00:00
2003,Cadillac,Escalade,Base,SUV,Automatic,1gyek63n43r276668,MO,41,78136,White,Beige,elco chevrolet inc,6800,9300,2014-12-23,11:00:00
2010,Chevrolet,Silverado 1500,LT,Crew Cab,Automatic,3gcrkse32ag120637,NE,38,94018,Blue,Black,woodhouse sioux city inc,18900,18800,2014-12-23,11:00:00
2014,Dodge,Grand Caravan,SXT,Minivan,Automatic,2c4rdgcg8er265940,AZ,4,23069,Black,Black,chrysler group/hertz/pv holding/000gd,16650,15800,2014-12-23,11:00:00
2012,Ford,Escape,Limited,SUV,Automatic,1fmcu9e70ckb07100,IL,44,76078,Blue,Tan,tdaf remarketing,13400,13600,2014-12-23,10:00:00
2006,Ford,Explorer,Limited,SUV,Automatic,1fmeu75896ub47271,WI,27,76256,Silver,Black,zimbrick volkswagen of madison,7725,8300,2014-12-23,10:00:00
2002,Ford,Explorer Sport,Choice,SUV,Automatic,1fmyu60e12uc67189,FL,38,148596,Gold,Tan,autonation ford jacksonville,1175,1800,2014-12-23,12:15:00
2013,Ford,F-150,XLT,SuperCrew,Automatic,1ftfw1efxdfb47747,WA,44,39389,Blue,Gray,crossborder vehicle sales ltd,25200,25900,2014-12-23,14:30:00
2014,Ford,Fiesta,S,Sedan,Manual,3fadp4aj7em239535,TN,49,5428,—,Gray,primeritus remarketing/compass bank,8925,8900,2014-12-23,10:30:00
2010,Ford,Focus,SE,Sedan,Automatic,1fahp3fnxaw239837,TN,25,70712,—,Gray,gm financial,6375,6300,2014-12-23,10:30:00
2003,Gmc,Safari,Base,Minivan,Automatic,1gkel19xx3b513479,MD,2,127971,Green,Gray,cashmoneycars,2625,3100,2014-12-23,09:30:00
2006,Honda,Accord,LX Special Edition,Sedan,Automatic,1hgcm56336a181177,MA,38,140829,White,Tan,imperial chrysler dodge jeep corp,4825,4900,2014-12-23,10:00:00
2007,Hyundai,Sonata,GLS,Sedan,Automatic,5npet46c27h269653,MA,19,86896,Blue,Gray,remarketing by ge/nextgear capital,4675,3000,2014-12-23,09:30:00
2013,Hyundai,Tucson,GLS,SUV,Automatic,km8ju3ac6du754923,IL,5,3366,Gray,Black,tdaf remarketing,17700,17300,2014-12-23,10:00:00
2011,Infiniti,G Sedan,G25x,G Sedan,Automatic,jn1dv6ar6bm651313,CO,43,50437,Silver,Black,infiniti financial services,15800,16000,2014-12-23,11:45:00
2012,Lincoln,MKS,Base,Sedan,Automatic,1lnhl9dr3cg801701,TX,29,25791,—,Black,ford motor credit company llc,19150,16700,2014-12-23,14:00:00
2011,Mazda,Mazda3,s Sport,Hatchback,Manual,jm1bl1k53b1464685,FL,39,34311,Gray,Black,jpmorgan chase bank n.a.,11450,11400,2014-12-23,09:30:00
2002,Mercedes-Benz,M-Class,ML320,SUV,Automatic,4jgab54e22a357917,CA,2,146801,Silver,Black,gossler motors,3000,2800,2014-12-23,12:30:00
2013,Nissan,Leaf,SV,Hatchback,Automatic,1n4az0cp7dc404880,TN,45,11579,—,Black,nissan-infiniti lt,14650,14600,2014-12-23,10:30:00
2010,Nissan,Maxima,3.5 SV,Sedan,Automatic,1n4aa5ap2ac810777,TX,4,50518,White,Black,nissan motor acceptance corporation,13550,15200,2014-12-23,10:10:00
2002,Nissan,Pathfinder,LE,SUV,Automatic,jn8dr09x02w651883,FL,21,119836,White,Black,lexus of tampa bay,3175,3100,2014-12-23,12:15:00
2002,Porsche,911,Carrera,Convertible,Manual,wp0ca29932s653288,PA,47,109085,Silver,Black,all car care,14400,15500,2014-12-23,09:00:00
2007,Volkswagen,Jetta,Wolfsburg Edition,Sedan,Manual,3vwef71k67m058602,AZ,19,105435,Gray,Gray,earnhardt,4475,3000,2014-12-23,11:00:00
2014,Volvo,S60,T5,Sedan,Automatic,yv1612fs2e1291625,GA,46,10537,Blue,Beige,volvo na company cars/world omni,21800,22400,2014-12-23,13:00:00
2007,Mercedes-Benz,M-Class,ML350,SUV,Automatic,4jgbb86e87a154962,CA,34,95897,Black,Black,wells fargo dealer services,11100,10250,2014-12-26,15:00:00
2001,Chevrolet,Impala,Base,Sedan,Automatic,2g1wf55e719228622,PA,2,179172,Burgundy,Gray,purple heart services inc,1100,425,2014-12-29,12:32:00
2011,Bmw,5 Series,528i,Sedan,Automatic,wbafr1c5xbc740537,TX,36,63452,Black,Tan,lease plan usa,22600,21600,2014-12-30,10:30:00
2013,Chrysler,200,Touring,Sedan,Automatic,1c3ccbbb1dn636549,FL,48,12674,Gray,Black,chrysler capital,12100,11900,2014-12-30,12:05:00
2004,Ford,F-150,FX4,SuperCrew,Automatic,1ftpw14554kc78427,TN,19,207442,Red,Gray,santander consumer,5475,4100,2014-12-30,10:30:00
2007,Ford,F-150,XLT,Supercab,Automatic,1ftpx14v87fb09531,OH,49,68094,Red,Gray,kevin norden sales llc,11600,15500,2014-12-30,10:00:00
2000,Ford,Mustang,Base,Coupe,Manual,1fafp4043yf153454,CA,24,147629,Red,Black,hertz remarketing,1225,700,2014-12-30,15:00:00
2012,Gmc,Terrain,SLE-1,SUV,Automatic,2gkalmek9c6259065,OH,42,54858,Blue,Gray,pauley motor car co preowned vehicles llc,14200,14200,2014-12-30,09:30:00
2012,Honda,Civic,EX-L,Sedan,Automatic,19xfb2f90ce329122,CA,19,14958,Gray,Gray,ahfc/honda lease trust/hvt  inc. eot,14150,12800,2014-12-30,15:00:00
2012,Hyundai,Sonata,GLS,Sedan,Automatic,5npeb4ac5ch405293,FL,31,21059,Gray,Gray,hyundai motor finance,12250,12100,2014-12-30,09:30:00
2003,Infiniti,I35,Base,Sedan,Automatic,jnkda31a93t111347,FL,34,121169,Green,Gray,lexus of clearwater,3075,4500,2014-12-30,12:15:00
2012,Mercedes-Benz,E-Class,E350 Luxury 4MATIC,Sedan,Automatic,wddhf8jb5ca626891,OH,36,22944,Black,Off-White,mercedes-benz financial services,29500,28750,2014-12-30,09:30:00
2014,Mini,Cooper Countryman,Base,Wagon,Automatic,wmwzb3c57ewr42073,OH,49,9021,Gray,—,bmw mini north america,18900,20250,2014-12-30,14:00:00
2012,Volkswagen,CC,Lux Limited,Sedan,Automatic,wvwhn7an6ce524543,FL,28,78831,Blue,Black,autonation ford sanford,12350,12000,2014-12-30,09:15:00
2010,Bmw,3 Series,328i,Coupe,Automatic,wbawb3c56ap139746,CA,38,53568,Red,Tan,mercedes benz of temecula,14900,16500,2014-12-31,12:15:00
2013,Chevrolet,Sonic,LT,Sedan,Automatic,1g1jc5sh9d4177665,TX,5,22900,White,Gray,hopper motorplex inc,9875,10300,2014-12-31,10:15:00
2005,Dodge,Durango,SLT,SUV,Automatic,1d4hd48d05f603494,NV,19,94726,Blue,Gray,wells fargo dealer services,5800,2700,2014-12-31,12:15:00
2014,Ford,Focus,SE,Sedan,Automatic,1fadp3f24el177671,MO,38,32865,Silver,Black,avis corporation,11600,12000,2014-12-31,10:30:00
2011,Ford,Fusion,SE,Sedan,Automatic,3fahp0ha7br167122,OH,29,125679,Gray,Black,dt credit corporation,6025,6500,2014-12-31,09:00:00
2011,Honda,Insight,EX,Hatchback,Automatic,jhmze2h70bs006165,NV,35,58214,Black,Gray,ahfc/honda lease trust/hvt  inc.,9525,10600,2014-12-31,12:15:00
2013,Hyundai,Elantra,GLS,Sedan,Automatic,5npdh4ae9dh335049,TX,42,41683,Black,Gray,avis corporation,11150,11400,2014-12-31,10:15:00
2005,Kia,Sorento,LX,SUV,Automatic,kndjd733055427521,TX,28,236863,Gray,Gray,gm financial,1200,1500,2014-12-31,10:15:00
2007,Nissan,Altima,2.5,Sedan,Automatic,1n4al21e77n447199,CA,19,92024,Gray,Gray,guard auto sales,5700,7000,2014-12-31,12:30:00
1993,Toyota,Pickup,Deluxe,Extended Cab,Automatic,jt4rn93p5p5080320,TN,2,233911,Silver,Gray,toyota knoxville,1550,2000,2014-12-31,10:30:00
2002,Volvo,S80,2.9,Sedan,Automatic,yv1ts92d121243934,CA,29,185801,Black,Gray,newport lexus,1250,800,2014-12-31,12:30:00
2008,Bmw,1 Series,128i,Coupe,Automatic,wbaup73538vf06658,FL,35,107090,Blue,Tan,lauderdale imports ltd bmw pembrok pines,9600,8500,2015-01-02,09:35:00
2012,Hyundai,Elantra,GLS,Sedan,Automatic,kmhdh4ae6cu443189,PA,37,25947,Silver,Gray,hyundai motor finance,10950,16900,2015-01-02,09:00:00
2009,Mini,Cooper,S,Hatchback,Manual,wmwmf73539tt99754,PA,41,62580,Gray,Black,royal coast auto inc,8825,9000,2015-01-02,09:00:00
2013,Chrysler,200,Touring,Sedan,Automatic,1c3ccbbb0dn538340,NC,41,28338,Silver,Black,chrysler capital,11350,12200,2015-01-05,01:30:00
2014,Dodge,Charger,SE,Sedan,Automatic,2c3cdxbg9eh197942,FL,3,23604,Blue,Black,hertz corporation/gdp,16100,15500,2015-01-05,04:30:00
2014,Dodge,Grand Caravan,SXT,Minivan,Automatic,2c4rdgcg3er253405,FL,3,25463,Blue,Black,hertz corporation/gdp,16500,16700,2015-01-05,04:30:00
2007,Bmw,3 Series,328i,Coupe,Automatic,wbawb33577pv71139,GA,25,118081,Silver,Black,carworks inc,8450,8700,2015-01-06,05:00:00
2013,Cadillac,SRX,Luxury,SUV,Automatic,3gyfnge37ds595025,GA,43,44512,Gray,Black,the hertz corporation,23900,23700,2015-01-06,01:30:00
2009,Chevrolet,HHR,LT,Wagon,Automatic,3gnca53v29s504609,FL,1,122505,Gray,Black,wells fargo dealer services,4325,3400,2015-01-06,16:00:00
2011,Chevrolet,Impala,LT Fleet,Sedan,Automatic,2g1wg5ek8b1178946,GA,25,103600,Silver,Gray,capital one auto finance,6075,5400,2015-01-06,01:30:00
2011,Dodge,Avenger,Mainstreet,Sedan,Automatic,1b3bd1fb5bn559305,GA,26,79227,Black,Black,prestige financial services,7775,8400,2015-01-06,01:30:00
2010,Dodge,Charger,SXT Fleet,Sedan,Automatic,2b3ca3cv6ah298698,GA,46,57854,Blue,Black,young motors llc,10600,12200,2015-01-06,01:30:00
2004,Ford,Econoline Cargo,E-250,Van,Automatic,1ftne24w04hb30997,MO,3,148561,White,Gray,mike albert fleet solutions,2425,4400,2015-01-06,03:00:00
2013,Ford,Edge,SEL,SUV,Automatic,2fmdk3j91dba77664,GA,37,19042,Silver,Black,ford motor credit company llc pd,21700,22900,2015-01-06,01:30:00
2006,Ford,F-350 Super Duty,XL,Crew Cab,Automatic,1ftww33p16ea38819,OH,1,80930,Blue,Gray,gateway one lending & finance,17050,12250,2015-01-06,04:00:00
2005,Infiniti,G35,Base,Sedan,Automatic,jnkcv51e45m206815,FL,28,238190,Red,Black,autonation nissan brandon,2400,3600,2015-01-06,18:00:00
2014,Infiniti,Q50,Hybrid Sport,Sedan,Automatic,jn1av7ap1em691522,CA,46,4199,Black,Black,nissan north america inc.,31800,29500,2015-01-06,12:30:00
2011,Jeep,Grand Cherokee,Laredo,SUV,Automatic,1j4rr4gg7bc737134,MO,41,40957,Silver,Black,american auto sales inc,21200,22800,2015-01-06,03:00:00
2007,Jeep,Wrangler,X,SUV,Automatic,1j8fa24147l159823,GA,22,82977,Blue,Gray,santander consumer,11900,10600,2015-01-06,01:30:00
2014,Kia,Optima,LX,Sedan,Automatic,5xxgm4a70eg296696,GA,44,50474,Silver,Gray,triangle rent a car,13800,13500,2015-01-06,01:30:00
2012,Kia,Sedona,LX,Minivan,Automatic,kndmg4c70c6476098,FL,19,60502,Gray,Gray,dtg operations inc,9650,9600,2015-01-06,01:30:00
2012,Lexus,IS 250,Base,Sedan,Automatic,jthbf5c28c5168525,FL,37,8488,Black,Gray,lexus financial services,23300,22200,2015-01-06,01:30:00
2005,Mercedes-Benz,E-Class,E500,Sedan,Automatic,wdbuf70j75a696728,MO,34,116168,Silver,Black,first community credit union,6300,4800,2015-01-06,11:00:00
2012,Nissan,Altima,2.5 S,Sedan,Automatic,1n4al2ap9cc190358,FL,46,26121,Gray,Black,nissan-infiniti lt,12750,12000,2015-01-06,13:00:00
2013,Nissan,Altima,2.5,Sedan,Automatic,1n4al3ap0dc110615,CA,44,36218,White,Black,nissan north america inc.,13500,10750,2015-01-06,12:30:00
2013,Toyota,4Runner,SR5,SUV,Automatic,jtebu5jr3d5132150,FL,38,40291,Black,Black,tdaf remarketing,26900,27000,2015-01-06,01:00:00
2014,Volkswagen,Jetta,SE PZEV,Sedan,Automatic,3vwd17aj5em366309,GA,44,38497,White,Black,web auto special inc,12550,11900,2015-01-06,09:30:00
2012,Volvo,S60,T5,Sedan,Automatic,yv1622fs6c2141196,CA,29,48812,Black,Black,ge fleet services for itself/servicer,14450,15250,2015-01-06,04:00:00
2012,Fiat,500,Lounge,Hatchback,Automatic,3c3cffcr2ct335667,TX,34,65094,Red,Black,d&m leasing,8375,6900,2015-01-07,10:15:00
2008,Ford,F-350 Super Duty,XLT,Supercab,Automatic,1ftwx31r08ed84915,UT,21,133470,White,Gray,excell auto center,13850,12500,2015-01-07,11:30:00
2014,Ford,Focus,SE,Hatchback,Automatic,1fadp3k29el302962,TX,42,21734,Black,Black,avis budget group,12550,12100,2015-01-07,09:30:00
2009,Ford,Focus,S,Sedan,Automatic,1fahp34n09w210376,TX,32,60916,White,Gray,santander consumer,5250,5600,2015-01-07,10:00:00
2007,Hyundai,Accent,GLS,Sedan,Automatic,kmhcn46c47u152367,WI,19,94886,Blue,—,toyota financial services,3700,1300,2015-01-07,09:00:00
2011,Nissan,Rogue,SV,SUV,Automatic,jn8as5mv5bw313731,NJ,42,42802,Purple,Gray,nissan-infiniti lt,13400,14100,2015-01-07,09:30:00
2014,Subaru,XV Crosstrek,Hybrid,SUV,Automatic,jf2gpbcc3eh205138,NJ,48,11413,Green,Black,subaru of america,22300,21800,2015-01-07,09:15:00
2010,Toyota,Camry,LE,Sedan,Automatic,4t4bf3ek5ar015527,MN,38,63225,Blue,Tan,brooklyn pk automotive inc,9225,10400,2015-01-07,10:30:00
2014,Audi,A6,2.0T Premium quattro,Sedan,Automatic,wauffafc3en048003,FL,5,6339,Silver,Black,prestige motorcar imports inc,35800,34800,2015-01-08,10:30:00
2011,Bmw,3 Series,328i,Sedan,Automatic,wbaph7c52be851906,FL,41,21389,Black,Tan,braman motorcars,22100,19000,2015-01-08,01:40:00
2008,Chevrolet,Silverado 1500,Work Truck,Crew Cab,Automatic,3gcec13j18g238812,CA,32,70279,Gray,Beige,reliance motors llc,16600,18400,2015-01-08,12:00:00
2013,Chevrolet,Sonic,LT,Hatchback,Automatic,1g1jc6shxd4214874,CA,24,38988,White,Black,avis corporation,9075,7700,2015-01-08,11:30:00
2014,Chrysler,300,S,Sedan,Automatic,2c3ccabg1eh238872,TX,38,26251,Black,Black,budget of omaha/ars,23000,23600,2015-01-08,10:30:00
2014,Chrysler,300,S,Sedan,Automatic,2c3ccabg6eh252993,TX,43,25432,Black,Black,budget of omaha/ars,23100,23600,2015-01-08,10:30:00
2014,Dodge,Avenger,SE,Sedan,Automatic,1c3cdzab2en168890,NE,39,41854,Burgundy,Black,enterprise vehicle exchange/davenport,10600,11100,2015-01-08,10:30:00
2014,Fiat,500L,Easy,Wagon,Automatic,zfbcfabh7ez027738,GA,1,5172,Silver,Gray,hertz/tra,13000,7900,2015-01-08,12:30:00
2014,Ford,Escape,Titanium,SUV,Automatic,1fmcu9j92eua15744,PA,43,32414,White,Black,avis budget group,21300,21800,2015-01-08,10:00:00
2011,Ford,F-250 Super Duty,XLT,Supercab,Automatic,1ft7x2bt2bec10313,GA,39,51646,Blue,Gray,ginn motor co,28000,27800,2015-01-08,10:00:00
2010,Ford,Focus,SES,Sedan,Automatic,1fahp3gnxaw236614,GA,35,53147,Silver,Black,wells fargo dealer services,7925,9000,2015-01-08,02:00:00
2008,Gmc,Sierra 1500,SLE1,Crew Cab,Automatic,2gtek133681172500,MI,33,113623,Blue,Black,stratford hyundai,14500,15500,2015-01-08,09:30:00
2009,Honda,Civic,EX,Coupe,Manual,2hgfg118x9h509619,CA,19,100306,Black,Gray,american auto finance,7650,6300,2015-01-08,12:30:00
2013,Infiniti,G Coupe,G37x,G Coupe,Automatic,jn1cv6el1dm980148,IL,44,38642,Blue,Black,nissan infiniti lt,23000,23400,2015-01-08,10:00:00
2009,Infiniti,M35,x,Sedan,Automatic,jnkcy01fx9m850716,NE,2,119226,White,Tan,john markel inc,10550,10600,2015-01-08,11:00:00
2011,Mazda,Mazda3,s Sport,Hatchback,Automatic,jm1bl1k54b1900816,MI,34,28089,Black,Black,jpmorgan chase bank n.a.,12050,11500,2015-01-08,00:00:00
2013,Mercedes-Benz,E-Class,E350 Sport,Sedan,Automatic,wddhf5kb6da709700,SC,32,36868,Silver,Black,the hertz corporation,29900,28501,2015-01-08,09:15:00
2008,Mitsubishi,Eclipse,GT,Hatchback,Manual,4a3ak34t98e034471,CA,34,83955,Green,Black,fiesta ford lincoln mercury,6450,7100,2015-01-08,12:00:00
2006,Nissan,Titan,LE,King Cab,Automatic,1n6ba06a56n572907,GA,29,100149,Silver,Gray,wells fargo dealer services,7875,7300,2015-01-08,02:00:00
2013,Scion,FR-S,Base,Coupe,Automatic,jf1znaa1xd2728785,GA,28,15235,Black,Black,world omni financial corporation,18300,17500,2015-01-08,02:00:00
2012,Acura,TL,Technology Package,Sedan,Automatic,19uua8f50ca014917,PA,38,52880,Black,Black,ahfc/honda lease/trust/hvt  inc. eot acuras,19300,19700,2015-01-09,09:00:00
2008,Cadillac,Escalade,Base,SUV,Automatic,1gyec63828r118196,FL,41,113959,Black,Black,onemain rem/silva auto sales,17650,18500,2015-01-09,10:15:00
2009,Honda,Pilot,Touring,SUV,Automatic,5fnyf48939b055939,PA,35,79103,White,Gray,bergen auto enterprises llc,17000,18400,2015-01-09,09:00:00
2011,Kia,Sorento,Base,SUV,Automatic,5xykt3a16bg070706,FL,37,46739,Silver,Black,bright star credit union,11650,11800,2015-01-09,10:45:00
2005,Lexus,ES 330,Base,Sedan,Automatic,jthba30g055130776,PA,26,160932,Gold,Beige,pohanka lexus,5425,5400,2015-01-09,09:00:00
2013,Honda,Fit,Base,Hatchback,Automatic,jhmge8h36dc058792,NC,5,1253,Red,Black,fidelity bank,13750,12900,2015-01-12,09:30:00
1998,Cadillac,Seville,STS,Sedan,Automatic,1g6ky5496wu924227,CA,39,106613,White,Black,wholesale enterprise inc,950,2300,2015-01-13,12:30:00
2012,Chevrolet,Camaro,LS,Coupe,Automatic,2g1fa1e3xc9191106,GA,28,59171,Silver,Black,capital one auto finance,13500,13700,2015-01-13,09:30:00
2014,Chevrolet,Impala Limited,LT Fleet,Sedan,Automatic,2g1wb5e34e1183914,CA,2,11606,Black,Black,enterprise vehicle exchange / tra / rental / tulsa,13450,8900,2015-01-13,13:00:00
2010,Dodge,Charger,SXT Fleet,Sedan,Automatic,2b3ca3cv6ah237108,MD,27,92370,Black,Black,capital one auto finance,8775,7100,2015-01-13,09:30:00
2011,Dodge,Charger,Base,Sedan,Automatic,2b3cl3cg8bh556331,TN,28,101217,White,Black,santander consumer,11350,10700,2015-01-13,10:30:00
2011,Dodge,Nitro,Heat,SUV,Automatic,1d4pt4gk2bw541817,NC,47,50294,Blue,Black,hrft finance inc,13200,13800,2015-01-13,10:00:00
2013,Ford,Escape,SE,SUV,Automatic,1fmcu9gx4duc84512,OH,43,22571,Black,Gray,ford motor credit company llc,18000,17300,2015-01-13,09:00:00
2014,Ford,Focus,SE,Hatchback,Automatic,1fadp3k26el283772,IL,48,22789,Gray,Gray,avis budget group,12550,12400,2015-01-13,11:00:00
2003,Ford,Windstar,SE,Minivan,Automatic,2fmza52463bb29912,OH,19,157287,Blue,Gray,halleen kia,1325,900,2015-01-13,09:30:00
2000,Honda,Accord,EX V6,Sedan,Automatic,1hgcg165xya004775,TN,2,223297,Gray,Gray,economy honda cars,1125,750,2015-01-13,10:00:00
2013,Hyundai,Elantra,GLS,Sedan,Automatic,5npdh4ae4dh385633,CA,43,26947,Gray,Gray,kia motors finance,11800,12900,2015-01-13,12:30:00
2002,Jaguar,S-Type,3,Sedan,Automatic,sajda01n42fm38420,GA,19,157932,Blue,Beige,rick hendrick buick gmc,1775,2200,2015-01-13,13:00:00
2008,Jeep,Wrangler,Unlimited X,SUV,Manual,1j4ga39188l555100,GA,29,53577,—,Gray,autosouth pre-owned superstore llc,17800,13500,2015-01-13,09:30:00
2002,Toyota,Camry,SE V6,Sedan,Automatic,4t1bf32k32u002338,TX,26,206335,Beige,Tan,automotive remarketing inc,2400,2300,2015-01-13,10:30:00
2005,Toyota,Sienna,CE 7-Passenger,Minivan,Automatic,5tdza23c35s326451,MD,19,206361,Gold,Tan,lexus of silver spring,3050,2700,2015-01-13,09:30:00
2013,Volkswagen,Passat,SE PZEV,Sedan,Automatic,1vwbp7a34dc086212,MD,44,44391,Black,Gray,avis corporation,12700,12700,2015-01-13,09:30:00
2005,Acura,MDX,Touring,SUV,Automatic,2hnyd18695h505988,CA,27,137203,Gray,Gray,east bay bmw,6800,6850,2015-01-14,04:30:00
2003,Bmw,3 Series,325i,Sedan,Automatic,wbaet37433nj25506,CA,35,101505,White,Gray,newport coast auto com,4100,5000,2015-01-14,04:30:00
2008,Buick,Enclave,CXL,SUV,Automatic,5gaer23718j124320,FL,2,117443,Gray,Gray,gateway one lending & finance,10650,8200,2015-01-14,07:15:00
2007,Cadillac,Escalade ESV,Base,SUV,Automatic,1gyfk66837r259795,TX,39,98052,Black,Beige,gunn chevrolet ltd,18400,16800,2015-01-14,02:00:00
2011,Chevrolet,Silverado 2500HD,LT,Extended Cab,Automatic,1gc2kxcg9bz379180,UT,29,64862,Silver,Gray,larry h. miller fleet lease,20200,19100,2015-01-14,03:30:00
2010,Chrysler,Sebring,Limited,Sedan,Automatic,1c3cc5fb3an216461,CA,37,61024,White,Black,wheels exchange llc,7550,8700,2015-01-14,04:30:00
2003,Chrysler,Sebring,LX,Coupe,Automatic,4c3ag42g33e117003,UT,19,162596,White,Gray,remarketing by ge/america first credit union,800,700,2015-01-14,03:30:00
2013,Ford,Edge,Limited,SUV,Automatic,2fmdk4kc1dbc22329,CA,22,51952,Gray,Black,the hertz corporation,19450,19000,2015-01-14,04:30:00
2011,Ford,Mustang,GT,Coupe,Automatic,1zvbp8cfxb5166998,NJ,32,67159,Blue,Gray,ford motor credit company llc,15700,15100,2015-01-14,01:00:00
2014,Gmc,Savana Cargo,2500,Van,Automatic,1gtw7fca2e1904706,WA,41,6379,White,Beige,u-haul,22700,23500,2015-01-14,05:35:00
2011,Honda,Civic,LX,Sedan,Automatic,19xfa1f57be035449,MO,42,70560,Brown,Gray,meridian remarketing,9225,9500,2015-01-14,02:30:00
2006,Honda,Odyssey,Touring,Minivan,Automatic,5fnrl38856b000189,CA,34,87984,Gray,Gray,rally cad chev pont gmc hyundai buick,8725,10000,2015-01-14,04:30:00
